Date,Close,High,Low,Open,Volume,SMA,MACD,MACD_Signal,%K,%D,RSI,Williams %R,Direction
2020-01-23,41386.3984375,41413.9609375,41098.91015625,41191.5,9900,0.2301785533316546,0.6969426211040063,-3.1725592621889787,0.5060165474933139,0.4324816495047818,0.4570659277261605,0.5060165474933139,0
2020-01-24,41613.19140625,41697.03125,41275.6015625,41377.0390625,6600,0.2313857241437869,0.6991382784397523,-5.805017806507553,0.634101896497345,0.48854423799110214,0.6447069951002394,0.634101896497345,1
2020-01-27,41155.12109375,41516.26953125,41122.48046875,41510.6796875,7000,0.23175391224846986,0.6933738633885943,-13.510857600238367,0.37539856822254347,0.4962435546302294,0.5182660696078357,0.37539856822254347,0
2020-01-28,40966.859375,41333.25,40869.75,41299.6796875,9800,0.23194612006358983,0.6858697382424644,-26.96545340988365,0.06236635468669323,0.3440587758661311,0.4937972012331743,0.06236635468669338,0
2020-01-29,41198.66015625,41334.859375,41108.19140625,41131.5703125,7800,0.23161912761950432,0.6839868830547554,-39.55824016789343,0.22993998725188916,0.2054196143359901,0.42178224623319055,0.22993998725188924,1
2020-01-30,40913.8203125,41380.140625,40829.91015625,41380.140625,6700,0.23073504719365223,0.678044717613624,-55.40501913433142,0.051150702392650745,0.09419326861103267,0.3467058609451654,0.051150702392650516,0
2020-01-31,40723.48828125,41154.48828125,40671.01171875,41146.55859375,11500,0.2292705520327275,0.6705420192896523,-75.37098018784685,0.02539663228055472,0.08151159030552882,0.26138098390792974,0.025396632280554665,0
2020-02-03,39872.30859375,40014.8984375,39563.0703125,39701.01953125,10600,0.22658914853735368,0.6510489439064414,-110.2804051776083,0.10795927496334651,0.03966869693117493,0.16694357253511433,0.10795927496334656,0
2020-02-04,40789.37890625,40818.94140625,40117.4609375,40178.73828125,15300,0.22519277575333996,0.651424178399767,-137.8434215406472,0.4513593494276315,0.17695177579832502,0.34100048269206285,0.45135934942763156,1
2020-02-05,41142.66015625,41177.0,40703.3203125,40921.7109375,13900,0.22417464579586355,0.6581022516145281,-153.40638338462185,0.5836467061365378,0.3684476104949316,0.3814575966649279,0.5836467061365378,1
2020-02-06,41306.03125,41405.4296875,41113.109375,41209.12890625,15000,0.2233505765016005,0.6665234090374168,-157.67597279602975,0.644821563717659,0.5526068196321967,0.40035858560058063,0.644821563717659,1
2020-02-07,41141.8515625,41394.41015625,41073.359375,41394.41015625,15300,0.22285168204772277,0.6708348286789961,-156.9032918126475,0.7431482381472357,0.6526988024502247,0.4253325489648613,0.7431482381472359,0
2020-02-10,40979.62109375,41172.05859375,40798.98046875,41166.71875,15200,0.22240804576728146,0.6719092477290735,-155.24139668336778,0.6659795157411227,0.6809413246396873,0.42984464160256997,0.6659795157411226,0
2020-02-11,41216.140625,41444.33984375,41179.140625,41183.390625,7700,0.2225379213557822,0.6769840650958535,-148.98192111515633,0.7784855708076451,0.7267919242281314,0.4807948963661025,0.7784855708076451,1
2020-02-12,41565.8984375,41671.859375,41330.8515625,41330.8515625,9600,0.22276928569161425,0.6869950007792258,-134.2491616922381,0.9448560667455848,0.7959835120330007,0.4894321393422033,0.9448560667455846,1
2020-02-13,41459.7890625,41709.30078125,41338.30859375,41707.2109375,9100,0.22257155961152075,0.6932723794868703,-116.36475980776022,0.8892248696800893,0.8725630906067968,0.4516683543475192,0.8892248696800893,0
2020-02-14,41257.73828125,41702.359375,41183.12890625,41510.19140625,9800,0.2227038267838376,0.6949774040176703,-100.40088276739824,0.7936641238820725,0.8777697709577681,0.4817982516868946,0.7936641238820725,0
2020-02-17,41055.69140625,41420.33984375,41030.578125,41324.0390625,6900,0.2228183257471289,0.6930807334516079,-89.47231227129333,0.6981052255610165,0.793127134068626,0.4800869175540595,0.6981052255610165,0
2020-02-18,40894.37890625,41042.4609375,40610.94921875,41042.4609375,12300,0.2224261261409316,0.6890528255693038,-84.64238931663445,0.6218118169873114,0.7013967642355146,0.4317976011804125,0.6218118169873114,0
2020-02-19,41323.0,41357.16015625,41048.9296875,41121.51171875,5600,0.2229535333088113,0.693089648755081,-76.85685668969866,0.8245299214663638,0.7119846207335061,0.5181391131212404,0.8245299214663637,1
2020-02-20,41170.12109375,41399.9296875,41134.30859375,41334.9609375,8400,0.2235292152253845,0.6938488945998121,-69.89085700317034,0.7522252156510523,0.7305493342219939,0.5230570425124601,0.7522252156510523,0
2020-02-24,40363.23046875,41037.01171875,40306.359375,41037.01171875,8100,0.2241619829889212,0.6812906154431386,-76.51786716142631,0.14888381215980892,0.568321423690258,0.5289804764340793,0.14888381215980884,0
2020-02-25,40281.19921875,40536.0,40220.58984375,40497.71875,7300,0.22350697097843764,0.6703460081544684,-92.4516747134458,0.03349009053234248,0.29697200557616044,0.393099892305018,0.03349009053234253,0
2020-02-26,39888.9609375,40255.390625,39760.390625,40194.890625,9000,0.22189103066044702,0.6556958041300068,-119.43074267258932,0.05912839532579618,0.059219857659760414,0.2833250443308506,0.05912839532579617,0
2020-02-27,39745.66015625,39947.80078125,39423.26953125,39947.80078125,9600,0.21987980936932117,0.642397660904003,-153.93255199920043,0.13531535463248703,0.054565486399595964,0.2365364686166586,0.135315354632487,0
2020-02-28,38297.2890625,39087.46875,38219.96875,39087.46875,12700,0.21621334522700697,0.6088769298438658,-214.09789948146255,0.014656918917957314,0.04810516675580222,0.15676069084040004,0.014656918917957285,0
2020-03-02,38144.01953125,39083.171875,37785.98828125,38910.94921875,13400,0.21255843117579643,0.5811640152393238,-289.15204199501994,0.0847964566272091,0.0569100501837725,0.15717145362802457,0.08479645662720903,0
2020-03-03,38623.69921875,38754.23828125,38142.30078125,38480.890625,10600,0.20921693544242237,0.5687122572176256,-361.2916853662396,0.20890274252018895,0.08215264114191324,0.19752147493977135,0.20890274252018903,1
2020-03-04,38409.48046875,38791.69921875,37846.1015625,38715.71875,15300,0.20514850899702752,0.5569631081730446,-430.41717603763726,0.15347847894609973,0.1297724297571715,0.12937570317379815,0.15347847894609967,0
2020-03-05,38470.609375,38887.80078125,38386.6796875,38604.25,13500,0.20129564229462515,0.5504204213716498,-492.0734979393905,0.16960814989343662,0.15886528035344147,0.14444830582482657,0.16960814989343664,1
2020-03-06,37576.62109375,37747.0703125,37011.08984375,37613.9609375,19000,0.19655091119041312,0.5323453444498969,-558.957689141243,0.12235683743681153,0.12917754521524571,0.11850498570075793,0.12235683743681158,0
2020-03-09,35634.94921875,36950.19921875,35109.1796875,36950.19921875,18800,0.18956391165878084,0.4882345778914135,-655.3166908177238,0.07700155012074981,0.10294375859111446,0.074829859814251,0.07700155012074972,0
2020-03-11,35697.3984375,36021.51171875,35261.921875,35468.8984375,27900,0.18286532706555103,0.4571422623342162,-762.6086944768739,0.08707828740172228,0.07463364159268102,0.08596395514131402,0.08707828740172219,1
2020-03-12,32778.140625,34472.5,32493.099609375,34472.5,25200,0.17185153478657855,0.38763472303603486,-915.9657817920844,0.024648707589368567,0.04111694225300931,0.0,0.024648707589368435,0
2020-03-13,34103.48046875,34769.48046875,29388.970703125,31214.130859375,32600,0.16274307453717884,0.3585318029111896,-1066.9236447406272,0.4030098978323256,0.15294718390774706,0.12284570436195236,0.40300989783232566,1
2020-03-16,31390.0703125,33103.23828125,31276.30078125,33103.23828125,18100,0.15117722918973664,0.295087351445401,-1249.32339919996,0.1743876802971688,0.18289681732898824,0.09474481578796126,0.1743876802971689,0
